	tool	coverage	coverage_threshold	strand_bias_threshold	gaps_threshold	step_GT	error_rate	nb_of_correct_calls	nb_of_total_calls	recall	nb_of_truth_probes_found	nb_of_truth_probes_in_total
152	pandora_illumina_with_denovo	30x	0	0.0	1.0	52	0.04978793136687887	86.46929824561403	91.0	0.5728059721497816	393166.0	686386.0
153	pandora_illumina_with_denovo	30x	0	0.0	1.0	53	0.05207703165960886	82.46929824561403	87.0	0.5728001445250923	393162.0	686386.0
154	pandora_illumina_with_denovo	30x	0	0.0	1.0	54	0.04856267173959008	78.96929824561403	83.0	0.5728001445250923	393162.0	686386.0
155	pandora_illumina_with_denovo	30x	0	0.0	1.0	55	0.054468942626837435	69.96929824561403	74.0	0.5728001445250923	393162.0	686386.0
156	pandora_illumina_with_denovo	30x	0	0.0	1.0	56	0.05758145363408529	65.96929824561403	70.0	0.5728001445250923	393162.0	686386.0
157	pandora_illumina_with_denovo	30x	0	0.0	1.0	57	0.06297971491228073	59.969298245614034	64.0	0.5728001445250923	393162.0	686386.0
158	pandora_illumina_with_denovo	30x	0	0.0	1.0	58	0.048106377053745535	59.969298245614034	63.0	0.5728001445250923	393162.0	686386.0
159	pandora_illumina_with_denovo	30x	0	0.0	1.0	59	0.050511695906432785	56.969298245614034	60.0	0.5728001445250923	393162.0	686386.0
160	pandora_illumina_with_denovo	30x	0	0.0	1.0	60	0.034418673803152	56.969298245614034	59.0	0.5728001445250923	393162.0	686386.0
161	pandora_illumina_with_denovo	30x	0	0.0	1.0	61	0.03562634656817487	54.969298245614034	57.0	0.5728001445250923	393162.0	686386.0
162	pandora_illumina_with_denovo	30x	0	0.0	1.0	62	0.0369218500797448	52.969298245614034	55.0	0.5728001445250923	393162.0	686386.0
163	pandora_illumina_with_denovo	30x	0	0.0	1.0	63	0.02103472968134623	47.969298245614034	49.0	0.5728001445250923	393162.0	686386.0
164	pandora_illumina_with_denovo	30x	0	0.0	1.0	64	0.02103472968134623	47.969298245614034	49.0	0.5728001445250923	393162.0	686386.0
165	pandora_illumina_with_denovo	30x	0	0.0	1.0	65	0.022406559877955808	44.969298245614034	46.0	0.5728001445250923	393162.0	686386.0
166	pandora_illumina_with_denovo	30x	0	0.0	1.0	66	0.0229044834307992	43.969298245614034	45.0	0.5728001445250923	393162.0	686386.0
167	pandora_illumina_with_denovo	30x	0	0.0	1.0	67	0.02342503987240829	42.969298245614034	44.0	0.5728001445250923	393162.0	686386.0
168	pandora_illumina_with_denovo	30x	0	0.0	1.0	68	0.02396980824153405	41.969298245614034	43.0	0.5728001445250923	393162.0	686386.0
169	pandora_illumina_with_denovo	30x	0	0.0	1.0	69	0.02576754385964919	38.969298245614034	40.0	0.5728001445250923	393162.0	686386.0
170	pandora_illumina_with_denovo	30x	0	0.0	1.0	70	0.02576754385964919	38.969298245614034	40.0	0.5728001445250923	393162.0	686386.0
171	pandora_illumina_with_denovo	30x	0	0.0	1.0	71	0.030314757481940124	32.969298245614034	34.0	0.5728001445250923	393162.0	686386.0
172	pandora_illumina_with_denovo	30x	0	0.0	1.0	72	0.03220942982456143	30.969298245614038	32.0	0.5727986876189199	393161.0	686386.0
173	pandora_illumina_with_denovo	30x	0	0.0	1.0	73	0.03220942982456143	30.969298245614038	32.0	0.5727986876189199	393161.0	686386.0
174	pandora_illumina_with_denovo	30x	0	0.0	1.0	74	0.03681077694235591	26.969298245614038	28.0	0.5727986876189199	393161.0	686386.0
175	pandora_illumina_with_denovo	30x	0	0.0	1.0	75	0.041228070175438614	23.969298245614038	25.0	0.5727986876189199	393161.0	686386.0
176	pandora_illumina_with_denovo	30x	0	0.0	1.0	76	0.04908103592314128	19.969298245614034	21.0	0.5727986876189199	393161.0	686386.0
177	pandora_illumina_with_denovo	30x	0	0.0	1.0	77	0.057261208576998124	16.969298245614034	18.0	0.5727986876189199	393161.0	686386.0
178	pandora_illumina_with_denovo	30x	0	0.0	1.0	78	0.057261208576998124	16.969298245614034	18.0	0.5727986876189199	393161.0	686386.0
179	pandora_illumina_with_denovo	30x	0	0.0	1.0	79	0.06666666666666665	14.0	15.0	0.5727986876189199	393161.0	686386.0
180	pandora_illumina_with_denovo	30x	0	0.0	1.0	80	0.07692307692307687	12.0	13.0	0.5727986876189199	393161.0	686386.0
181	pandora_illumina_with_denovo	30x	0	0.0	1.0	81	0.09090909090909094	10.0	11.0	0.5727986876189199	393161.0	686386.0
182	pandora_illumina_with_denovo	30x	0	0.0	1.0	82	0.0	7.0	7.0	0.5727986876189199	393161.0	686386.0
183	pandora_illumina_with_denovo	30x	0	0.0	1.0	83	0.0	6.0	6.0	0.5727986876189199	393161.0	686386.0
184	pandora_illumina_with_denovo	30x	0	0.0	1.0	84	0.0	5.0	5.0	0.5727972307127477	393160.0	686386.0
185	pandora_illumina_with_denovo	30x	0	0.0	1.0	85	0.0	5.0	5.0	0.5727972307127477	393160.0	686386.0
186	pandora_illumina_with_denovo	30x	0	0.0	1.0	86	0.0	5.0	5.0	0.5727972307127477	393160.0	686386.0
187	pandora_illumina_with_denovo	30x	0	0.0	1.0	87	0.0	5.0	5.0	0.5727972307127477	393160.0	686386.0
188	pandora_illumina_with_denovo	30x	0	0.0	1.0	88	0.0	5.0	5.0	0.5727972307127477	393160.0	686386.0
189	pandora_illumina_with_denovo	30x	0	0.0	1.0	89	0.0	5.0	5.0	0.5727972307127477	393160.0	686386.0
190	pandora_illumina_with_denovo	30x	0	0.0	1.0	90	0.0	4.0	4.0	0.5727972307127477	393160.0	686386.0
191	pandora_illumina_with_denovo	30x	0	0.0	1.0	91	0.0	4.0	4.0	0.5727972307127477	393160.0	686386.0
192	pandora_illumina_with_denovo	30x	0	0.0	1.0	92	0.0	3.0	3.0	0.5727957738065753	393159.0	686386.0
193	pandora_illumina_with_denovo	30x	0	0.0	1.0	93	0.0	3.0	3.0	0.5727957738065753	393159.0	686386.0
194	pandora_illumina_with_denovo	30x	0	0.0	1.0	94	0.0	3.0	3.0	0.5727957738065753	393159.0	686386.0
195	pandora_illumina_with_denovo	30x	0	0.0	1.0	95	0.0	3.0	3.0	0.5727957738065753	393159.0	686386.0
196	pandora_illumina_with_denovo	30x	0	0.0	1.0	96	0.0	2.0	2.0	0.5727957738065753	393159.0	686386.0
197	pandora_illumina_with_denovo	30x	0	0.0	1.0	97	0.0	1.0	1.0	0.5727957738065753	393159.0	686386.0
198	pandora_illumina_with_denovo	30x	0	0.0	1.0	98	0.0	1.0	1.0	0.5727957738065753	393159.0	686386.0
199	pandora_illumina_with_denovo	30x	0	0.0	1.0	99	0.0	1.0	1.0	0.5727957738065753	393159.0	686386.0
